id_producto,nombre_producto,categoria,precio_unitario,ventas_unidades,fecha_venta,region,vendedor,metodo_pago,descuento_aplicado,ingresos_totales
P001,Laptop Dell Inspiron 15,Tecnologia,850.00,25,2024-01-15,Norte,Ana Garcia,Tarjeta Credito,0.10,19125.00
P002,Smartphone Samsung Galaxy,Tecnologia,650.00,40,2024-01-16,Sur,Carlos Lopez,Efectivo,0.05,24700.00
P003,Tablet Apple iPad Air,Tecnologia,720.00,18,2024-01-17,Este,Maria Rodriguez,Tarjeta Debito,0.08,11865.60
P004,Monitor LG 27 pulgadas,Tecnologia,320.00,30,2024-01-18,Oeste,Luis Martinez,Transferencia,0.00,9600.00
P005,Teclado Mecanico Corsair,Accesorios,150.00,50,2024-01-19,Norte,Ana Garcia,Tarjeta Credito,0.15,6375.00
P006,Mouse Gaming Logitech,Accesorios,85.00,75,2024-01-20,Sur,Patricia Jimenez,Efectivo,0.00,6375.00
P007,Auriculares Sony WH-1000XM4,Audio,280.00,35,2024-01-21,Este,Carlos Lopez,Tarjeta Credito,0.12,8624.00
P008,Camara Canon EOS R6,Fotografia,2100.00,8,2024-01-22,Norte,Maria Rodriguez,Transferencia,0.05,15960.00
P009,Impresora HP LaserJet Pro,Oficina,420.00,22,2024-01-23,Oeste,Luis Martinez,Tarjeta Debito,0.07,8601.60
P010,Silla Ergonomica Herman Miller,Mobiliario,950.00,12,2024-01-24,Sur,Ana Garcia,Transferencia,0.10,10260.00
P011,Escritorio Ajustable IKEA,Mobiliario,480.00,15,2024-01-25,Norte,Patricia Jimenez,Efectivo,0.00,7200.00
P012,Webcam Logitech C920,Accesorios,120.00,60,2024-01-26,Este,Carlos Lopez,Tarjeta Credito,0.05,6840.00
P013,Disco Duro Externo Seagate 2TB,Almacenamiento,95.00,45,2024-01-27,Oeste,Maria Rodriguez,Tarjeta Debito,0.00,4275.00
P014,SSD Samsung 1TB,Almacenamiento,180.00,38,2024-01-28,Sur,Luis Martinez,Transferencia,0.08,6307.20
P015,Router WiFi 6 ASUS,Redes,220.00,28,2024-01-29,Norte,Ana Garcia,Tarjeta Credito,0.00,6160.00
P016,Cable HDMI 4K Belkin,Accesorios,25.00,90,2024-01-30,Este,Patricia Jimenez,Efectivo,0.20,1800.00
P017,Powerbank Anker 20000mAh,Accesorios,65.00,55,2024-02-01,Sur,Carlos Lopez,Tarjeta Debito,0.10,3217.50
P018,Altavoces Bluetooth JBL,Audio,135.00,42,2024-02-02,Oeste,Maria Rodriguez,Tarjeta Credito,0.00,5670.00
P019,Microfono Blue Yeti,Audio,180.00,25,2024-02-03,Norte,Luis Martinez,Transferencia,0.15,3825.00
P020,Switch de Red Netgear 8 puertos,Redes,85.00,32,2024-02-04,Este,Ana Garcia,Efectivo,0.00,2720.00
P021,Laptop Gaming ASUS ROG,Tecnologia,1850.00,15,2024-02-05,Sur,Patricia Jimenez,Tarjeta Credito,0.08,25530.00
P022,Soporte para Monitor Dual,Mobiliario,75.00,40,2024-02-06,Oeste,Carlos Lopez,Tarjeta Debito,0.00,3000.00
P023,Lampara LED Escritorio,Mobiliario,45.00,65,2024-02-07,Norte,Maria Rodriguez,Efectivo,0.12,2574.00
P024,Hub USB-C Multipuerto,Accesorios,95.00,48,2024-02-08,Este,Luis Martinez,Transferencia,0.05,4332.00
P025,Memoria RAM DDR4 32GB,Componentes,280.00,20,2024-02-09,Sur,Ana Garcia,Tarjeta Credito,0.10,5040.00
P026,Tarjeta Grafica RTX 4070,Componentes,750.00,12,2024-02-10,Oeste,Patricia Jimenez,Transferencia,0.00,9000.00
P027,Procesador AMD Ryzen 7,Componentes,420.00,18,2024-02-11,Norte,Carlos Lopez,Tarjeta Debito,0.05,7182.00
P028,Placa Base MSI B550,Componentes,180.00,25,2024-02-12,Este,Maria Rodriguez,Efectivo,0.08,4140.00
P029,Fuente de Poder 850W,Componentes,150.00,30,2024-02-13,Sur,Luis Martinez,Tarjeta Credito,0.00,4500.00
P030,Enfriador Liquido Corsair,Componentes,220.00,22,2024-02-14,Oeste,Ana Garcia,Transferencia,0.12,4257.60
